Instancia,BRKGA,BEST,GAP
prob_25_1.txt, 1350, 1350, 0.0 
prob_25_2.txt, 1310, 1310, 0.0 
prob_25_3.txt, 1140, 1140, 0.0 
prob_25_4.txt, 1190, 1190, 0.0 
prob_25_5.txt, 1090, 1090, 0.0 
prob_25_6.txt, 1260, 1260, 0.0 
prob_25_7.txt, 1257, 1250, 0.53 
prob_25_8.txt, 1253, 1250, 0.27 
prob_25_9.txt, 1350, 1350, 0.0 
prob_25_10.txt, 1370, 1370, 0.0 
prob_50_1.txt, 1940, 1940, 0.0 
prob_50_2.txt, 2210, 2210, 0.0 
prob_50_3.txt, 2720, 2700, 0.74 
prob_50_4.txt, 2537, 2520, 0.66 
prob_50_5.txt, 2607, 2590, 0.64 
prob_50_6.txt, 2320, 2320, 0.0 
prob_50_7.txt, 2500, 2490, 0.4 
prob_50_8.txt, 2733, 2720, 0.49 
prob_50_9.txt, 2150, 2140, 0.47 
prob_50_10.txt, 2643, 2630, 0.51 
prob_100_1.txt, 4900, 4870, 0.62 
prob_100_2.txt, 5480, 5430, 0.92 
prob_100_3.txt, 5177, 5140, 0.71 
prob_100_4.txt, 5223, 5170, 1.03 
prob_100_5.txt, 5000, 4960, 0.81 
prob_100_6.txt, 5187, 5160, 0.52 
prob_100_7.txt, 4793, 4770, 0.49 
prob_100_8.txt, 4870, 4840, 0.62 
prob_100_9.txt, 5140, 5100, 0.78 
prob_100_10.txt, 4660, 4640, 0.43 
prob_200_1.txt, 11003, 10910, 0.86 
prob_200_2.txt, 10367, 10290, 0.75 
prob_200_3.txt, 10240, 10150, 0.89 
prob_200_4.txt, 10173, 10100, 0.73 
prob_200_5.txt, 9973, 9910, 0.64 
prob_200_6.txt, 10710, 10620, 0.85 
prob_200_7.txt, 9987, 9920, 0.67 
prob_200_8.txt, 9963, 9900, 0.64 
prob_200_9.txt, 9957, 9890, 0.67 
prob_200_10.txt, 10277, 10200, 0.75 
prob_500_1.txt, 25193, 25000, 0.77 
prob_500_2.txt, 25970, 25720, 0.97 
prob_500_3.txt, 24570, 24340, 0.94 
prob_500_4.txt, 26027, 25790, 0.92 
prob_500_5.txt, 24683, 24440, 1.0 
prob_500_6.txt, 25020, 24870, 0.6 
prob_500_7.txt, 25177, 25010, 0.67 
prob_500_8.txt, 25307, 25100, 0.82 
prob_500_9.txt, 25120, 24920, 0.8 
prob_500_10.txt, 25713, 25560, 0.6 
H&Slin100-1-1.txt, 12837, 12700, 1.08 
H&Slin100-1-2.txt, 12217, 12140, 0.63 
H&Slin100-1-3.txt, 13727, 13620, 0.78 
H&Slin100-1-4.txt, 12683, 12550, 1.06 
H&Slin100-1-5.txt, 10720, 10630, 0.85 
H&Slin100-1-6.txt, 11243, 11130, 1.02 
H&Slin100-1-7.txt, 13163, 13020, 1.1 
H&Slin100-1-8.txt, 12287, 12180, 0.88 
H&Slin100-1-9.txt, 11190, 11090, 0.9 
H&Slin100-1-10.txt, 12900, 12800, 0.78 
H&Slin200-1-1.txt, 25807, 25430, 1.48 
H&Slin200-1-2.txt, 26633, 26300, 1.27 
H&Slin200-1-3.txt, 28057, 27770, 1.03 
H&Slin200-1-4.txt, 24703, 24300, 1.66 
H&Slin200-1-5.txt, 26237, 25820, 1.61 
H&Slin200-1-6.txt, 24097, 23820, 1.16 
H&Slin200-1-7.txt, 28967, 28590, 1.32 
H&Slin200-1-8.txt, 26197, 25900, 1.15 
H&Slin200-1-9.txt, 25230, 24890, 1.37 
H&Slin200-1-10.txt, 25967, 25760, 0.8 
H&Slin500-1-1.txt, 63023, 61770, 2.03 
H&Slin500-1-2.txt, 63493, 62090, 2.26 
H&Slin500-1-3.txt, 68577, 66770, 2.71 
H&Slin500-1-4.txt, 65313, 63970, 2.1 
H&Slin500-1-5.txt, 63430, 62150, 2.06 
H&Slin500-1-6.txt, 62290, 61130, 1.9 
H&Slin500-1-7.txt, 64673, 63340, 2.11 
H&Slin500-1-8.txt, 64447, 63250, 1.89 
H&Slin500-1-9.txt, 62697, 61170, 2.5 
H&Slin500-1-10.txt, 63280, 62000, 2.06 
H&Slin1000-1-1.txt, 129690, 126610, 2.43 
H&Slin1000-1-2.txt, 126167, 123250, 2.37 
