Instancia,Media,Melhor,Gap
prob_25_1.txt,1356.6666666666667,1350,0.49
prob_25_2.txt,1310.0,1310,0.0
prob_25_3.txt,1140.0,1140,0.0
prob_25_4.txt,1193.3333333333333,1190,0.28
prob_25_5.txt,1090.0,1090,0.0
prob_25_6.txt,1266.6666666666667,1260,0.53
prob_25_7.txt,1260.0,1250,0.8
prob_25_8.txt,1260.0,1250,0.8
prob_25_9.txt,1350.0,1350,0.0
prob_25_10.txt,1373.3333333333333,1370,0.24
prob_50_1.txt,1940.0,1940,0.0
prob_50_2.txt,2210.0,2210,0.0
prob_50_3.txt,2716.6666666666665,2700,0.62
prob_50_4.txt,2530.0,2520,0.4
prob_50_5.txt,2603.3333333333335,2590,0.51
prob_50_6.txt,2320.0,2320,0.0
prob_50_7.txt,2496.6666666666665,2490,0.27
prob_50_8.txt,2730.0,2720,0.37
prob_50_9.txt,2146.6666666666665,2140,0.31
prob_50_10.txt,2636.6666666666665,2630,0.25
prob_100_1.txt,4886.666666666667,4870,0.34
prob_100_2.txt,5463.333333333333,5430,0.61
prob_100_3.txt,5160.0,5140,0.39
prob_100_4.txt,5190.0,5170,0.39
prob_100_5.txt,4983.333333333333,4960,0.47
prob_100_6.txt,5173.333333333333,5160,0.26
prob_100_7.txt,4780.0,4770,0.21
prob_100_8.txt,4856.666666666667,4840,0.34
prob_100_9.txt,5123.333333333333,5100,0.46
prob_100_10.txt,4653.333333333333,4640,0.29
prob_200_1.txt,11053.333333333334,10910,1.31
prob_200_2.txt,10423.333333333334,10290,1.3
prob_200_3.txt,10276.666666666666,10150,1.25
prob_200_4.txt,10200.0,10100,0.99
prob_200_5.txt,10013.333333333334,9910,1.04
prob_200_6.txt,10746.666666666666,10620,1.19
prob_200_7.txt,10026.666666666666,9920,1.08
prob_200_8.txt,10010.0,9900,1.11
prob_200_9.txt,9990.0,9890,1.01
prob_200_10.txt,10320.0,10200,1.18
prob_500_1.txt,25453.333333333332,25000,1.81
prob_500_2.txt,26266.666666666668,25720,2.13
prob_500_3.txt,24770.0,24340,1.77
prob_500_4.txt,26323.333333333332,25790,2.07
prob_500_5.txt,24973.333333333332,24440,2.18
prob_500_6.txt,25253.333333333332,24870,1.54
prob_500_7.txt,25433.333333333332,25010,1.69
prob_500_8.txt,25550.0,25100,1.79
prob_500_9.txt,25380.0,24920,1.85
prob_500_10.txt,26016.666666666668,25560,1.79
