Instancia,BRKGA,BEST,GAP
prob_25_1.txt, 1350, 1350, 0.0 
prob_25_2.txt, 1310, 1310, 0.0 
prob_25_3.txt, 1140, 1140, 0.0 
prob_25_4.txt, 1190, 1190, 0.0 
prob_25_5.txt, 1090, 1090, 0.0 
prob_25_6.txt, 1260, 1260, 0.0 
prob_25_7.txt, 1260, 1250, 0.8 
prob_25_8.txt, 1253, 1250, 0.27 
prob_25_9.txt, 1350, 1350, 0.0 
prob_25_10.txt, 1370, 1370, 0.0 
prob_50_1.txt, 1940, 1940, 0.0 
prob_50_2.txt, 2210, 2210, 0.0 
prob_50_3.txt, 2720, 2700, 0.74 
prob_50_4.txt, 2530, 2520, 0.4 
prob_50_5.txt, 2603, 2590, 0.51 
prob_50_6.txt, 2320, 2320, 0.0 
prob_50_7.txt, 2500, 2490, 0.4 
prob_50_8.txt, 2737, 2720, 0.61 
prob_50_9.txt, 2150, 2140, 0.47 
prob_50_10.txt, 2647, 2630, 0.63 
prob_100_1.txt, 4880, 4870, 0.21 
prob_100_2.txt, 5467, 5430, 0.68 
prob_100_3.txt, 5163, 5140, 0.45 
prob_100_4.txt, 5180, 5170, 0.19 
prob_100_5.txt, 4987, 4960, 0.54 
prob_100_6.txt, 5173, 5160, 0.26 
prob_100_7.txt, 4770, 4770, 0.0 
prob_100_8.txt, 4850, 4840, 0.21 
prob_100_9.txt, 5130, 5100, 0.59 
prob_100_10.txt, 4640, 4640, 0.0 
prob_200_1.txt, 10937, 10910, 0.24 
prob_200_2.txt, 10310, 10290, 0.19 
prob_200_3.txt, 10180, 10150, 0.3 
prob_200_4.txt, 10133, 10100, 0.33 
prob_200_5.txt, 9937, 9910, 0.27 
prob_200_6.txt, 10640, 10620, 0.19 
prob_200_7.txt, 9947, 9920, 0.27 
prob_200_8.txt, 9900, 9900, 0.0 
prob_200_9.txt, 9920, 9890, 0.3 
prob_200_10.txt, 10220, 10200, 0.2 
prob_500_1.txt, 25027, 25000, 0.11 
prob_500_2.txt, 25760, 25720, 0.16 
prob_500_3.txt, 24380, 24340, 0.16 
prob_500_4.txt, 25850, 25790, 0.23 
prob_500_5.txt, 24447, 24440, 0.03 
prob_500_6.txt, 24893, 24870, 0.09 
prob_500_7.txt, 25047, 25010, 0.15 
prob_500_8.txt, 25120, 25100, 0.08 
prob_500_9.txt, 24940, 24920, 0.08 
prob_500_10.txt, 25580, 25560, 0.08 
H&Slin100-1-1.txt, 12730, 12700, 0.24 
H&Slin100-1-2.txt, 12210, 12140, 0.58 
H&Slin100-1-3.txt, 13650, 13620, 0.22 
H&Slin100-1-4.txt, 12570, 12550, 0.16 
H&Slin100-1-5.txt, 10670, 10630, 0.38 
H&Slin100-1-6.txt, 11220, 11130, 0.81 
